,hotelname,rating,reviews,star rating, location, nearest, distance nearest,price,tax,tax
2666,The Artisan Lakeview Hotel,4.5,419.0,3.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
2667,Vision Premier Hotel & Spa,4.5,143.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2668,Hillary Hanoi Hotel,,,4.0,Dịch Vọng ,city centre,7.6 km ,D 39,,10
2669,Grand Plaza Hanoi Hotel,4.0,181.0,5.0,Trung Hoà ,city centre,7.9 km ,D 82,,18
2670,Hanoi Elpis Hotel,4.5,95.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,7
2671,Hanoi Delica Hotel,4.5,37.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,8
2672,The West Hotel & Spa,4.5,29.0,3.0,Hoan Kiem (Old Quarter) ,,,D 49,,
2673,Diamond Nostalgia Hotel & Spa,1.5,10.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,8
2674,Soleil Boutique Hotel,5.0,311.0,4.0,Hoan Kiem (Old Quarter) ,,,D 104,,24
2675,Jacosmo Hotel & Spa,5.0,826.0,4.0,Hoan Kiem (Old Quarter) ,,,D 88,,20
2676,Old Quarter Hotel 1961,1.5,5.0,,Hoan Kiem (Old Quarter) ,,,D 9,,
2677,AncyrA TamTam Hotel by Continent - Near Hoan Kiem Lake,4.5,24.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,5
2678,Hanoian Central Hotel & Spa,5.0,430.0,4.0,Hoan Kiem (Old Quarter) ,,,D 75,,
2679,LeaH Silk Hotel,5.0,194.0,4.0,Hoan Kiem (Old Quarter) ,,,D 74,,16
2680,Little Hanoi Hotel,4.5,503.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,8
2681,Hanoi Siva Luxury Hotel & Travel,5.0,685.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
2682,Family Transit Hotel,4.0,121.0,2.0,Phú Cường ,city centre ,29.1 km ,D 12,,3
2683,Eastin Hotel & Residences Hanoi,5.0,75.0,4.0,Dịch Vọng Hậu ,city centre,8.7 km ,D 73,,10
2684,Parosand Hanoi Hotel & Apartment,5.0,6.0,4.0,Tay Ho (Westlake),,,D 25,,6
2685,New Airport Hotel,4.5,166.0,3.0,Mai Đình ,city centre ,23.5 km ,D 28,,6
2686,Hanoi Fiesta Hotel & Spa,5.0,59.0,4.0,Hoan Kiem (Old Quarter) ,,,D 40,,9
2687,Serenity Diamond Hotel,4.5,549.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,
2688,Hanoi Gatsby Hotel,4.0,18.0,3.0,Hoan Kiem (Old Quarter) ,,,D 151,,41
2689,Oakwood Residence Hanoi,5.0,299.0,5.0,Tay Ho (Westlake) ,,,D 73,,14
2690,JW Marriott Hotel Hanoi,5.0,2972.0,5.0,Mễ Trì ,city centre,9.8 km ,D 205,,
2691,Anova Hotel,3.5,33.0,3.0,Mai Đình ,city centre ,24.0 km ,D 17,,4
2692,Golden Lotus Airport Hotel,,,3.0,Phú Cường ,city centre ,30.1 km ,D 20,,3
2693,Hong Ngoc Cochinchine Boutique Hotel & Spa,4.5,621.0,4.0,Ba Dinh  ,,,D 47,,11
2694,22Land Residence Hotel & Spa 52 Ngo Huyen,,,4.0,Hoan Kiem (Old Quarter) ,,,D 36,,3
2695,Nesta Hotel Ha Noi,4.5,303.0,4.0,Hai Ba Trung ,,,D 45,,10
2696,Diamond Westlake Suites,4.5,216.0,5.0,Tay Ho (Westlake),,,D 49,,12
2697,De Syloia Hotel,4.5,171.0,4.0,Hoan Kiem (Old Quarter) ,,,D 99,,23
2698,HNC Premier Hotel & Residences,5.0,34.0,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
2699,Hanoi Backpackers Hostel & Rooftop bar,5.0,216.0,3.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
2700,Hanoi Lake View Hotel & Spa,4.5,114.0,4.0,Hoan Kiem (Old Quarter) ,,,D 70,,17
2701,Luxury Hotel,5.0,514.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2702,Lenid Hotel Tho Nhuom,4.5,80.0,4.0,Hoan Kiem (Old Quarter) ,,,D 38,,9
2703,Mina Hotel & Spa,4.5,50.0,4.0,Hoan Kiem (Old Quarter) ,,,D 46,,10
2704,Parkside Sunline Hotel,4.5,76.0,4.0,Hai Ba Trung ,,,D 39,,9
2705,Rose Garden Residence,4.5,50.0,4.0,Ba Dinh,,,D 49,,12
2706,Hanoi La Siesta Hotel & Spa,5.0,5851.0,4.0,Hoan Kiem (Old Quarter) ,,,D 89,,20
2707,Luxury Backpackers,5.0,1411.0,3.0,Hoan Kiem (Old Quarter) ,,,D 29,,7
2708,Golden Villa Hotel,5.0,1310.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,
2709,Aviary Hanoi Hotel & Travel,,,4.0,Hoan Kiem (Old Quarter) ,,,D 40,,3
2710,Eliana Signature Hanoi Hotel,5.0,772.0,3.0,Hoan Kiem (Old Quarter) ,,,D 92,,21
2711,Madelise Central Hotel & Travel,4.5,45.0,4.0,Hoan Kiem (Old Quarter) ,,,D 144,,20
2712,Serene Boutique Hotel & Spa,5.0,971.0,4.0,Hoan Kiem (Old Quarter) ,,,D 36,,
2713,Viet Village Hotel & Travel,4.5,146.0,3.0,Mai Đình ,city centre ,23.4 km ,D 27,,
2714,Hanoi Bella Rosa Trendy Hotel,5.0,254.0,3.0,Hoan Kiem (Old Quarter) ,,,D 42,,10
2715,Somerset West Lake Hanoi,4.0,173.0,4.0,Tay Ho (Westlake),,,D 42,,7
2716,Hanoi Stella Hotel,5.0,217.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,
2717,Bluebell Hotel,4.0,199.0,1.0,Hoan Kiem (Old Quarter) ,,,D 14,,
2718,Hanoi Paradise Hotel & Travel,5.0,1485.0,3.0,Hoan Kiem (Old Quarter) ,,,D 127,,31
2719,La Storia Ruby Hotel & Travel,5.0,812.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,
2720,Hanoi Veris Boutique Hotel & Spa,5.0,66.0,3.0,Hoan Kiem (Old Quarter) ,,,D 77,,18
2721,Hanoi Charming House,4.5,1373.0,2.0,Hoan Kiem (Old Quarter) ,,,D 21,,5
2722,Smarana Hanoi Heritage,,,4.0,Dịch Vọng Hậu ,city centre,8.4 km ,D 271,,
2723,Royal Holiday Hanoi Hotel,5.0,87.0,3.0,Hoan Kiem (Old Quarter) ,,,D 62,,
2724,Essence d'Orient Hotel & Spa,5.0,796.0,3.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
2725,Hanoi Sunshine Hotel,4.5,571.0,3.0,Hoan Kiem (Old Quarter) ,,,D 52,,14
2726,Rising Dragon Estate Hotel,4.5,500.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2727,Phoenix Legend Hotel,4.5,348.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,6
2728,Parklane Hanoi Hotel,4.5,322.0,3.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
2729,Hanoi Larosa Hotel,4.5,286.0,3.0,Văn Miếu ,,,D 47,,11
2730,Icon 36 Hotel & Residence,4.5,312.0,3.0,Hoan Kiem (Old Quarter) ,,,D 50,,12
2731,Parkson Hotel Hanoi,4.5,287.0,3.0,Hoan Kiem (Old Quarter) ,,,D 50,,11
2732,Minerva Church Hotel,4.5,23.0,4.0,Hoan Kiem (Old Quarter) ,,,D 62,,15
2733,Hanoi A1 Hotel,4.5,226.0,3.0,Hoan Kiem (Old Quarter) ,,,D 62,,15
2734,HAAP Transit Hotel,4.5,209.0,3.0,Mai Đình ,city centre ,23.3 km ,D 29,,7
2735,Eternity Hanoi Hotel,3.5,12.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,6
2736,Hanoi Emotion Hotel,4.5,174.0,3.0,Cat Linh ,,,D 81,,19
2737,The Light Hotel,4.5,915.0,4.0,Hoan Kiem (Old Quarter) ,,,D 46,,10
2738,Hanoi Malo Boutique Hotel,4.5,159.0,3.0,Hoan Kiem (Old Quarter) ,,,D 56,,15
2739,Serenity Villa Hotel,4.5,516.0,3.0,Hoan Kiem (Old Quarter) ,,,D 36,,
2740,Hanoi Massive Hostel,5.0,81.0,2.0,Hoan Kiem (Old Quarter) ,,,D 10,,for
2741,Bao Son International Hotel,3.5,84.0,4.0,Ba Dinh,,,D 72,,17
2742,Muong Thanh Grand Hanoi Hotel,3.5,98.0,4.0,Đại Kim ,city centre,9.3 km ,D 45,,11
2743,Emerald Hotel Hanoi,4.5,78.0,3.0,Hai Ba Trung ,,,D 41,,10
2744,Hanoi House Hostel & Travel,5.0,2156.0,2.0,Hoan Kiem (Old Quarter) ,,,D 69,,18
2745,Vong Xua Hotel,4.5,62.0,3.0,Hai Ba Trung,,,D 22,,5
2746,Hanoi La Mejor Hotel & Sky Bar,5.0,3381.0,4.0,Hoan Kiem (Old Quarter) ,,,D 67,,15
2747,Sweet Family Guest House,4.5,56.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
2748,Ibiz City Hostel,3.5,108.0,2.0,Hoan Kiem (Old Quarter) ,,,D 14,,
2749,HANZ Kieu Anh Hotel,,,2.0,Trung Hoà ,city centre,7.7 km ,D 27,,
2750,Western Hanoi Hotel,4.0,25.0,4.0,Dịch Vọng Hậu ,city centre,7.7 km ,D 25,,6
2751,The Pearl Hotel,4.0,12.0,3.0,Ba Dinh,,,D 31,,7
2752,Riverside Hanoi Hotel,3.5,38.0,4.0,Nghĩa Đô,,,D 25,,6
2753,Chikoo Homestay (spot-on),,,3.0,Ba Dinh  ,,,D 9,,2
2754,Lucky 3 Hotel & Travel,4.0,225.0,3.0,Hoan Kiem (Old Quarter) ,,,D 27,,7
2755,Mai Charming Hotel & Spa,4.5,389.0,3.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
2756,Calidas Landmark72 Royal Residence Hanoi,4.0,33.0,5.0,Mỹ Đình 1 ,city centre,8.8 km ,D 115,,27
2757,Hanoi Starlight Hotel,4.0,233.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
2758,Hanoi Morning Hotel,4.0,181.0,3.0,Hoan Kiem (Old Quarter) ,,,D 38,,9
2759,HANZ Hanoi De Maison Grand Hotel,4.0,134.0,3.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
2760,JM Marvel Hotel & Spa,5.0,1784.0,4.0,Hoan Kiem (Old Quarter) ,,,D 73,,17
2761,Fraser Residence Hanoi,5.0,35.0,5.0,Hanoi ,city centre,10.5 km ,D 82,,20
2762,Moon View Hotel,4.0,110.0,3.0,Ba Dinh  ,,,D 62,,15
2763,Hong Ha Hotel,4.0,86.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,10
2764,Hanoi Boutique Hotel and Spa,5.0,235.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,12
2765,Thang Long Espana Hotel,4.0,76.0,3.0,Ba Dinh  ,,,D 63,,15
2766,Hanoi Vision Boutique Hotel,4.5,29.0,3.0,Hoan Kiem (Old Quarter) ,,,D 55,,12
2767,Ping Hanoi Hotel,4.0,49.0,3.0,Mễ Trì ,city centre,10.1 km ,D 52,,12
2768,Hanoi Marvellous Hotel & Spa,5.0,2590.0,4.0,Hoan Kiem (Old Quarter) ,,,D 69,,12
2769,La Sinfonía del Rey Hotel & Spa,5.0,1623.0,4.0,Hoan Kiem (Old Quarter) ,,,D 128,,30
2770,Hanoi E Central Hotel,5.0,1425.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,9
2771,Bendecir Hotel & Spa,5.0,968.0,4.0,Hoan Kiem (Old Quarter) ,,,D 66,,
2772,Solaria Hotel,5.0,683.0,4.0,Hoan Kiem (Old Quarter) ,,,D 107,,25
2773,Tirant Hotel,5.0,987.0,4.0,Hoan Kiem (Old Quarter) ,,,D 69,,16
2774,Alisa Hotel & Spa,5.0,716.0,4.0,Hoan Kiem (Old Quarter) ,,,D 183,,43
2775,Hanoi Golden Hostel,4.5,46.0,2.0,Hoan Kiem (Old Quarter) ,,,D 17,,4
2776,Hanoi L'heritage Diamond Hotel & Spa,5.0,780.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
2777,Shining Central Hotel & Spa,5.0,473.0,4.0,Hoan Kiem (Old Quarter) ,,,D 58,,
2778,Hanoi La Siesta Central Hotel & Spa,5.0,437.0,4.0,Hoan Kiem (Old Quarter) ,,,D 173,,44
2779,Anatole Hotel Hanoi,5.0,405.0,4.0,Hoan Kiem (Old Quarter) ,,,D 85,,21
2780,L’HÔTEL du LAC Hanoi,5.0,380.0,4.0,Hoan Kiem (Old Quarter) ,,,D 86,,16
2781,May De Ville Legend Hotel and Spa,5.0,401.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
2782,Babylon Premium Hotel & Spa,5.0,282.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,
2783,Luxury Old Quarter Hotel & Gym,5.0,295.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
2784,Hanoi Allure Hotel,5.0,264.0,4.0,Hoan Kiem (Old Quarter) ,,,D 93,,21
2785,The Q Hotel Hanoi,5.0,239.0,4.0,Ba Dinh  ,,,D 54,,12
2786,Halais Hotel,4.0,7.0,4.0,Hai Ba Trung ,,,D 34,,9
2787,Lotusama Hanoi Hotel,5.0,184.0,4.0,Hoan Kiem (Old Quarter) ,,,D 45,,11
2788,A25 Hotel - 23 Quan Thanh,3.5,98.0,4.0,Ba Dinh  ,,,D 30,,7
2789,Impressive Boutique Hotel,4.5,70.0,2.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2790,Nesta Boutique Hotel Ha Noi,5.0,110.0,4.0,Hai Ba Trung ,,,D 33,,7
2791,Hoa Binh Hotel,3.5,148.0,3.0,Hoan Kiem (Old Quarter) ,,,D 57,,13
2792,Atrium Hanoi Hotel,3.5,157.0,3.0,Hoan Kiem (Old Quarter) ,,,D 74,,18
2793,Maya Boutique Hotel & Spa,5.0,88.0,4.0,Hoan Kiem (Old Quarter) ,,,D 40,,9
2794,Hanoi Central Backpackers Hostel,4.5,388.0,,Hoan Kiem (Old Quarter) ,,,D 10,,for
2795,HANOI FLORA HOTEL,,,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,
2796,Hanoi Buffalo Hostel,5.0,133.0,,Hoan Kiem (Old Quarter) ,,,D 12,,for
2797,Midori Boutique Hotel,5.0,62.0,4.0,Hai Ba Trung ,,,D 46,,12
2798,Peridot Grand Luxury Boutique Hotel,5.0,1011.0,5.0,Hoan Kiem (Old Quarter) ,,,D 156,,35
2799,Millan Home,4.5,18.0,3.0,Ba Dinh  ,,,D 26,,6
2800,Sunny 3 Hotel Hanoi,3.5,48.0,3.0,Cat Linh ,,,D 33,,7
2801,Conifer Boutique Hotel,4.5,702.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
2802,Family Transit 2 Hotel,4.0,58.0,2.0,Phú Cường ,city centre ,27.4 km ,D 12,,3
2803,Sunline Hotel,4.5,377.0,4.0,Hoan Kiem (Old Quarter) ,,,D 49,,12
2804,Gallant Hotel,4.5,16.0,3.0,Hai Ba Trung ,,,D 62,,14
2805,Oriental Palace,4.0,8.0,3.0,Tay Ho (Westlake) ,,,D 27,,6
2806,Melia Ba Vi Mountain Retreat,4.5,334.0,4.0,Ba Vi ,city centre,67.7 km ,D 277,,38
2807,Hanoi Rosaliza Hotel,4.5,327.0,4.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
2808,Golden Time Hostel,4.5,262.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
2809,La Passion Hanoi Hotel & Spa,4.5,72.0,4.0,Hoan Kiem (Old Quarter) ,,,D 74,,17
2810,Sen Luxury Hotel,4.5,70.0,4.0,Quan Hoa ,city centre ,6.3 km ,D 34,,8
2811,Blue Hanoi Hotel,5.0,12.0,3.0,Hai Ba Trung ,,,D 30,,7
2812,Marigold Hotel Hanoi,,,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,9
2813,Little Charm Hanoi Hostel,5.0,508.0,3.0,Hoan Kiem (Old Quarter) ,,,D 20,,5
2814,Hotel Kuretakeso Tho Nhuom 84,4.5,54.0,4.0,Hoan Kiem (Old Quarter) ,,,D 51,,12
2815,Zody House,5.0,11.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,6
2816,GRAND HOTEL du LAC Hanoi,,,5.0,Hoan Kiem (Old Quarter) ,,,D 148,,20
2817,Hanoi La Selva Hotel,5.0,2269.0,3.0,Hoan Kiem (Old Quarter) ,,,D 48,,
2818,Golden Sun Hotel,5.0,1567.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,
2819,Hanoi EcoStay 1 hostel,4.5,27.0,2.0,Hoan Kiem (Old Quarter) ,,,D 12,,for
2820,Hanoi Trendy Hotel & Spa,5.0,1447.0,3.0,Hoan Kiem (Old Quarter) ,,,D 36,,8
2821,Hanoi Bonsella Hotel,5.0,1205.0,3.0,Hoan Kiem (Old Quarter) ,,,D 60,,15
2822,Mercury Central Hotel Hanoi,5.0,1086.0,3.0,Hoan Kiem (Old Quarter) ,,,D 50,,
2823,Golden Legend Diamond Hotel,5.0,1076.0,3.0,Hoan Kiem (Old Quarter) ,,,D 55,,
2824,Old Quarter View Hanoi Hostel,5.0,818.0,3.0,Hoan Kiem (Old Quarter) ,,,D 20,,for
2825,Hanoi La Castela Hotel,5.0,733.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,9
2826,Grande Collection Hotel & Spa,5.0,322.0,4.0,Hoan Kiem (Old Quarter) ,,,D 53,,14
2827,Diamond Legend Hotel,4.5,1142.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
2828,Grand Mercure Hanoi,5.0,197.0,,Cat Linh ,,,D 131,,
2829,Lotte Hotel Hanoi,5.0,2478.0,5.0,Ba Dinh  ,,,D 99,,27
2830,Silk Path Hotel Hanoi,4.5,4361.0,4.0,Hoan Kiem (Old Quarter) ,,,D 58,,14
2831,Silk Path Boutique Hanoi,5.0,2488.0,4.0,Hoan Kiem (Old Quarter) ,,,D 60,,15
2832,Pullman Hanoi Hotel,4.0,1063.0,5.0,Cat Linh ,,,D 124,,
2833,Pan Pacific Hanoi,4.5,2464.0,5.0,Ba Dinh  ,,,D 115,,26
2834,Bonne Nuit Hotel and Spa Hanoi,4.0,94.0,4.0,Hoan Kiem (Old Quarter) ,,,D 32,,9
2835,Splendid Star grand hotel and spa,5.0,3316.0,4.0,Hoan Kiem (Old Quarter) ,,,D 34,,8
2836,Hanoi Anise Hotel and Spa,5.0,152.0,4.0,Hoan Kiem (Old Quarter) ,,,D 20,,6
2837,Dolce by Wyndham Hanoi Golden Lake,4.5,107.0,5.0,Ba Dinh,,,D 109,,
2838,Aurora Premium Hotel and Spa,5.0,447.0,4.0,Hoan Kiem (Old Quarter) ,,,D 45,,12
2839,Grand Vista Hanoi,4.5,161.0,5.0,Ba Dinh,,,D 69,,18
2840,Haibay hotel,5.0,800.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,11
2841,Thang Long Opera Hotel,4.5,410.0,4.0,Hoan Kiem (Old Quarter) ,,,D 43,,11
2842,SOJO Hotel Ga Hanoi,4.5,29.0,4.0,Hoan Kiem (Old Quarter) ,,,D 33,,7
2843,Acoustic Hotel & Spa,5.0,696.0,4.0,Hoan Kiem (Old Quarter) ,,,D 53,,12
2844,Somerset West Point Hanoi,4.5,133.0,5.0,Tay Ho (Westlake) ,,,D 80,,21
2845,May De Ville Luxury Hotel & Spa,4.0,1060.0,5.0,Hoan Kiem (Old Quarter) ,,,D 73,,16
2846,The Oriental Jade,5.0,2540.0,5.0,Hoan Kiem (Old Quarter) ,,,D 110,,25
2847,Sheraton Hanoi Hotel,4.5,2213.0,5.0,Tay Ho (Westlake) ,,,D 174,,
2848,Golden Silk Boutique Hotel,4.5,1258.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,12
2849,Somerset Hoa Binh Hanoi,4.5,162.0,4.0,Nghia Tan ,city centre,7.6 km ,D 48,,11
2850,Wyndham Garden Hanoi,5.0,62.0,4.0,Vạn Phúc ,city centre,11.4 km ,D 50,,12
2851,InterContinental Hanoi Westlake,4.5,2951.0,5.0,Tay Ho (Westlake) ,,,D 135,,
2852,Hanoi Inner Hotel,5.0,873.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,6
2853,Little Diamond Hotel,4.5,732.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,
2854,Bespoke Trendy Hotel Hanoi (formerly La Siesta Trendy),5.0,4369.0,4.0,Hoan Kiem (Old Quarter) ,,,D 70,,16
2855,Dal Vostro Hotel & Spa,5.0,494.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,10
2856,My Moon Hotel,4.5,486.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,7
2857,Hyatt Regency West Hanoi,4.5,773.0,5.0,Mỹ Đình 2 ,city centre,10.5 km ,D 89,,
2858,La Beaute de Hanoi Hotel,5.0,1655.0,3.0,Hoan Kiem (Old Quarter) ,,,D 36,,9
2859,San Grand Hotel,5.0,1643.0,4.0,Hoan Kiem (Old Quarter) ,,,D 65,,14
2860,Hanoi Graceful Hotel,4.5,844.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
2861,Mayflower Hotel Hanoi,5.0,265.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,6
2862,Somerset Grand Hanoi,4.5,1177.0,5.0,Hoan Kiem (Old Quarter) ,,,D 96,,25
2863,Dragon Hotel,4.0,73.0,3.0,Tay Ho (Westlake) ,,,D 26,,6
2864,Elegant Suites Westlake,4.5,259.0,5.0,Tay Ho (Westlake) ,,,D 76,,17
2865,La Sinfonia Citadel hotel and Spa,5.0,1053.0,4.0,Hoan Kiem (Old Quarter) ,,,D 96,,27
2866,Dream Hotel & Apartment,5.0,229.0,4.0,Nam Đồng,,,D 36,,9
2867,Hanoi Paon Hotel & Spa,4.5,298.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,13
2868,Hai Bay Hotel & Restaurant,5.0,799.0,4.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
2869,San Premium Hotel,5.0,404.0,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
2870,Hanoi Nostalgia Hotel & Spa,4.0,138.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,11
2871,Oriental Suite Hotel & Spa,5.0,2929.0,4.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
2872,Hanoi La Storia Hotel,5.0,338.0,3.0,Hoan Kiem (Old Quarter) ,,,D 48,,11
2873,Le Jardin Hotel Haute Couture,5.0,282.0,4.0,Ba Dinh  ,,,D 52,,13
2874,Hanoi Royal Palace Hotel 2,4.5,2241.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,
2875,Hotel du Parc Hanoi,4.5,145.0,5.0,Hai Ba Trung ,,,D 71,,16
2876,Ken Hotel by Connek,5.0,95.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
2877,Melia Hanoi Hotel,4.5,2827.0,5.0,Hoan Kiem (Old Quarter) ,,,D 112,,27
2878,Memory Legends Hotel,5.0,540.0,3.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
2879,Fortuna Hanoi Hotel,4.0,401.0,4.0,Ba Dinh,,,D 74,,18
2880,Blue Hanoi Inn Hotel,5.0,544.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,5
2881,Super Hotel Candle,4.0,151.0,4.0,Ba Dinh,,,D 42,,10
2882,Hanoi La Palm Premier Hotel&Spa,5.0,2783.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
2883,La Palm Hotel,4.5,361.0,3.0,Hoan Kiem (Old Quarter) ,,,D 33,,7
2884,The Ann Hanoi,4.5,929.0,4.0,Hai Ba Trung ,,,D 121,,27
2885,Hanoi Brilliant Hotel and Spa,5.0,864.0,4.0,Hoan Kiem (Old Quarter) ,,,D 55,,12
2886,May De Ville Premier Hotel and Spa,4.5,63.0,4.0,Hoan Kiem (Old Quarter) ,,,D 60,,14
2887,The Lapis Hotel,4.5,905.0,4.0,Hoan Kiem (Old Quarter) ,,,D 58,,13
2888,Hanoi Daewoo Hotel,4.0,671.0,5.0,Ba Dinh  ,,,D 76,,18
2889,Singita Classy Boutique Hotel,5.0,62.0,4.0,Hoan Kiem (Old Quarter) ,,,D 46,,12
2890,Sofitel Legend Metropole Hanoi,5.0,8589.0,5.0,Hoan Kiem (Old Quarter) ,,,D 358,,
2891,Hanoi Le Jardin Hotel & Spa,5.0,560.0,4.0,Ba Dinh  ,,,D 48,,11
2892,Rex Hanoi Hotel,4.5,220.0,4.0,Hoan Kiem (Old Quarter) ,,,D 55,,12
2893,Matilda Boutique and Spa Hotel,4.5,61.0,4.0,Hoan Kiem (Old Quarter) ,,,D 43,,10
2894,Hanoi Ancient Paradise Hotel,4.5,1452.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2895,La Sinfonía Majesty Hotel and Spa,5.0,433.0,3.0,Hoan Kiem (Old Quarter) ,,,D 92,,22
2896,Apricot Hotel,4.5,1376.0,5.0,Hoan Kiem (Old Quarter) ,,,D 100,,25
2897,Hanoi Aria Central Hotel & Spa,5.0,417.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
2898,Aquarius Grand Hotel,5.0,252.0,3.0,Hoan Kiem (Old Quarter) ,,,D 36,,8
2899,A25 Luxury Hotel,4.0,36.0,4.0,Hai Ba Trung,,,D 33,,8
2900,Skylark Hotel Hanoi,4.5,685.0,4.0,Hoan Kiem (Old Quarter) ,,,D 38,,8
2901,Dragon Pearl Hotel,4.5,353.0,3.0,Hoan Kiem (Old Quarter) ,,,D 20,,5
2902,Hanoi Chic Boutique Hotel,4.5,309.0,3.0,Hoan Kiem (Old Quarter) ,,,D 56,,12
2903,Romantique Hotel De Hanoi,5.0,50.0,4.0,Hoan Kiem (Old Quarter) ,,,D 41,,7
2904,Silk Queen Hotel Hanoi,3.5,92.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,9
2905,Silk Queen Grand Hotel,4.0,236.0,4.0,Hoan Kiem (Old Quarter) ,,,D 46,,11
2906,Kingly Hotel,4.0,31.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,5
2907,Hanoi Posh Boutique Hotel,4.5,484.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,
2908,Meritel Hanoi,5.0,453.0,4.0,Hoan Kiem (Old Quarter) ,,,D 66,,15
2909,Golden Art Hotel,5.0,1920.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,
2910,O'Gallery Premier Hotel & Spa,5.0,3005.0,4.0,Hoan Kiem (Old Quarter) ,,,D 57,,13
2911,Lakeside Palace Hotel,4.0,56.0,3.0,Hoan Kiem (Old Quarter) ,,,D 31,,8
2912,Hanoi Golden Holiday Hotel,5.0,446.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,8
2913,Hotel Garden Queen,4.0,89.0,3.0,Hoan Kiem (Old Quarter) ,,,D 51,,12
2914,Le Foyer Hotel,4.0,81.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2915,Mon Regency Hotel,3.5,89.0,4.0,Hoan Kiem (Old Quarter) ,,,D 31,,7
2916,The Chi Boutique Hotel Hanoi,5.0,872.0,4.0,Hoan Kiem (Old Quarter) ,,,D 54,,14
2917,Hilton Garden Inn Hanoi,4.5,788.0,4.0,Hoan Kiem (Old Quarter) ,,,D 89,,
2918,Lavender Central Hotel & Spa,5.0,3678.0,4.0,Hoan Kiem (Old Quarter) ,,,D 73,,16
